campaign_id,campaign_name,channel,date,impressions,clicks,conversions,cost,revenue,currency,channel_type,roi,roas,cpa,cpc,ctr,conversion_rate2
CMP-1001,Spring Sale 2024,Email,2024-03-01,5500,480,60,120.00,900.00,USD,PAID,6.5,7.5,2,0.25,0.087272727,0.125
CMP-1002,Social Buzz Launch,Social Media,2024-03-01,8000,720,90,310.00,1500.00,USD,PAID,3.838709677,4.838709677,3.444444444,0.430555556,0.09,0.125
CMP-1003,Brand Awareness Q1,Display Ads,2024-03-01,13000,420,18,170.00,400.00,USD,PAID,1.352941176,2.352941176,9.444444444,0.404761905,0.032307692,0.042857143
CMP-1004,Affiliate Growth 2024,Affiliate,2024-03-01,4300,210,26,85.00,350.00,USD,PAID,3.117647059,4.117647059,3.269230769,0.404761905,0.048837209,0.123809524
CMP-1005,Direct Entry Promo,Direct,2024-03-01,1700,60,9,0.00,90.00,USD,ORGANIC,,,,,0.035294118,0.15
CMP-1001,Spring Sale 2024,Paid Search,2024-03-01,6000,490,44,210.00,1100.00,USD,PAID,4.238095238,5.238095238,4.772727273,0.428571429,0.081666667,0.0898
CMP-1002,Social Buzz Launch,Organic Search,2024-03-01,3000,160,24,0.00,320.00,USD,ORGANIC,,,,,0.053333333,0.15
CMP-1003,Brand Awareness Q1,Other,2024-03-01,2500,60,7,65.00,100.00,USD,PAID,0.538461538,1.538461538,9.285714286,1.083333333,0.024,0.116666667
CMP-1004,Affiliate Growth 2024,Email,2024-03-02,2600,210,19,55.00,180.00,USD,PAID,2.272727273,3.272727273,2.894736842,0.261904762,0.080769231,0.09047619
CMP-1005,Direct Entry Promo,Social Media,2024-03-02,3100,250,22,95.00,210.00,USD,PAID,1.210526316,2.210526316,4.318181818,0.38,0.080645161,0.088
CMP-1006,Flash Deals March,Paid Search,2024-03-02,6200,530,53,220.00,980.00,USD,PAID,3.454545455,4.454545455,4.150943396,0.41509434,0.085483871,0.1
CMP-1007,Loyalty Booster,Organic Search,2024-03-02,3400,180,34,0.00,370.00,USD,ORGANIC,,,,,0.052941176,0.188888889
CMP-1008,Display Domination,Display Ads,2024-03-02,12400,400,20,156.00,360.00,USD,PAID,1.307692308,2.307692308,7.8,0.39,0.032258065,0.05
CMP-1009,Affiliate Spring Push,Affiliate,2024-03-02,3500,140,15,49.00,160.00,USD,PAID,2.265306122,3.265306122,3.266666667,0.35,0.04,0.107142857
CMP-1010,Direct Shop Special,Direct,2024-03-02,2100,95,11,0.00,110.00,USD,ORGANIC,,,,,0.045238095,0.115789474
CMP-1006,Flash Deals March,Email,2024-03-03,3700,370,42,77.00,330.00,USD,PAID,3.285714286,4.285714286,1.833333333,0.208108108,0.1,0.113513514
CMP-1007,Loyalty Booster,Social Media,2024-03-03,6600,350,29,130.00,260.00,USD,PAID,1,2,4.482758621,0.371428571,0.053030303,0.082857143
CMP-1008,Display Domination,Paid Search,2024-03-03,8900,580,46,215.00,570.00,USD,PAID,1.651162791,2.651162791,4.673913043,0.370689655,0.065168539,0.079310345
CMP-1009,Affiliate Spring Push,Organic Search,2024-03-03,3600,160,20,0.00,290.00,USD,ORGANIC,,,,,0.044444444,0.125
CMP-1010,Direct Shop Special,Display Ads,2024-03-03,11500,390,23,143.00,320.00,USD,PAID,1.237762238,2.237762238,6.217391304,0.366666667,0.033913043,0.058974359
CMP-1011,Affiliate Max 2024,Affiliate,2024-03-03,4100,170,17,53.00,135.00,USD,PAID,1.547169811,2.547169811,3.117647059,0.311764706,0.041463415,0.1
CMP-1012,Direct Entry Rewards,Direct,2024-03-03,1950,80,12,0.00,125.00,USD,ORGANIC,,,,,0.041025641,0.15
CMP-1007,Loyalty Booster,Email,2024-03-04,3000,260,34,65.00,220.00,USD,PAID,2.384615385,3.384615385,1.911764706,0.25,0.086666667,0.130769231
CMP-1008,Display Domination,Social Media,2024-03-04,5100,280,23,92.00,187.00,USD,PAID,1.032608696,2.032608696,4,0.328571429,0.054901961,0.082142857
CMP-1009,Affiliate Spring Push,Paid Search,2024-03-04,7100,500,45,190.00,470.00,USD,PAID,1.473684211,2.473684211,4.222222222,0.38,0.070422535,0.09
CMP-1010,Direct Shop Special,Organic Search,2024-03-04,2600,120,15,0.00,200.00,USD,ORGANIC,,,,,0.046153846,0.125
CMP-1011,Affiliate Max 2024,Display Ads,2024-03-04,12200,460,28,138.00,340.00,USD,PAID,1.463768116,2.463768116,4.928571429,0.3,0.037704918,0.060869565
CMP-1012,Direct Entry Rewards,Affiliate,2024-03-04,3800,140,14,44.00,120.00,USD,PAID,1.727272727,2.727272727,3.142857143,0.314285714,0.036842105,0.1
CMP-1013,Email Surge April,Email,2024-04-01,4500,400,40,85.00,340.00,USD,PAID,3,4,2.125,0.2125,0.088888889,0.1
CMP-1014,Spring Social Blast,Social Media,2024-04-01,7500,690,55,250.00,800.00,USD,PAID,2.2,3.2,4.545454545,0.362318841,0.092,0.079710145
CMP-1015,Search Lift Q2,Paid Search,2024-04-01,8200,610,47,225.00,630.00,USD,PAID,1.8,2.8,4.787234043,0.368852459,0.074390244,0.07704918
CMP-1016,Organic Outreach,Organic Search,2024-04-01,4100,200,30,0.00,290.00,USD,ORGANIC,,,,,0.048780488,0.15
CMP-1017,Display Impact,Display Ads,2024-04-01,14000,480,25,180.00,410.00,USD,PAID,1.277777778,2.277777778,7.2,0.375,0.034285714,0.052083333
CMP-1018,Affiliate Leads Q2,Affiliate,2024-04-01,3900,150,18,60.00,170.00,USD,PAID,1.833333333,2.833333333,3.333333333,0.4,0.038461538,0.12
CMP-1019,Direct Bonus April,Direct,2024-04-01,1800,85,10,0.00,90.00,USD,ORGANIC,,,,,0.047222222,0.117647059
CMP-1013,Email Surge April,Other,2024-04-01,2000,50,6,31.00,48.00,USD,PAID,0.548387097,1.548387097,5.166666667,0.62,0.025,0.12
CMP-1014,Spring Social Blast,Email,2024-04-02,5200,410,49,88.00,360.00,USD,PAID,3.090909091,4.090909091,1.795918367,0.214634146,0.078846154,0.119512195
CMP-1015,Search Lift Q2,Social Media,2024-04-02,9000,700,60,260.00,920.00,USD,PAID,2.538461538,3.538461538,4.333333333,0.371428571,0.077777778,0.085714286
CMP-1016,Organic Outreach,Paid Search,2024-04-02,6500,490,47,190.00,510.00,USD,PAID,1.684210526,2.684210526,4.042553191,0.387755102,0.075384615,0.095918367
CMP-1017,Display Impact,Organic Search,2024-04-02,3300,135,22,0.00,230.00,USD,ORGANIC,,,,,0.040909091,0.162962963
CMP-1018,Affiliate Leads Q2,Display Ads,2024-04-02,11000,350,20,127.00,210.00,USD,PAID,0.653543307,1.653543307,6.35,0.362857143,0.031818182,0.057142857
CMP-1019,Direct Bonus April,Affiliate,2024-04-02,4200,160,16,48.00,130.00,USD,PAID,1.708333333,2.708333333,3,0.3,0.038095238,0.1
CMP-1020,Direct Route Q2,Direct,2024-04-02,1600,68,8,0.00,80.00,USD,ORGANIC,,,,,0.0425,0.117647059
CMP-1014,Spring Social Blast,Paid Search,2024-04-03,7100,520,48,210.00,540.00,USD,PAID,1.571428571,2.571428571,4.375,0.403846154,0.073239437,0.092307692
CMP-1015,Search Lift Q2,Organic Search,2024-04-03,2500,105,16,0.00,150.00,USD,ORGANIC,,,,,0.042,0.152380952
CMP-1016,Organic Outreach,Display Ads,2024-04-03,9000,310,17,106.00,180.00,USD,PAID,0.698113208,1.698113208,6.235294118,0.341935484,0.034444444,0.05483871
CMP-1017,Display Impact,Affiliate,2024-04-03,3400,125,14,40.00,120.00,USD,PAID,2,3,2.857142857,0.32,0.036764706,0.112
CMP-1018,Affiliate Leads Q2,Direct,2024-04-03,2300,90,11,0.00,110.00,USD,ORGANIC,,,,,0.039130435,0.122222222
CMP202404,Spring Surge 2024,Social Media,2024-05-03,23150,1280,122,785.40,1832.00,USD,PAID,1.332569391,2.332569391,6.437704918,0.61359375,0.055291577,0.0953125
CMP202412,Holiday Blast 2024,Email,2024-05-04,8500,400,62,270.00,1100.00,USD,PAID,3.074074074,4.074074074,4.35483871,0.675,0.047058824,0.155
CMP202419,Back to School Promo,Display Ads,2024-05-03,18000,900,79,925.50,1750.00,USD,PAID,0.8908698,1.8908698,11.71518987,1.028333333,0.05,0.087777778
CMP202405,Q2 Product Launch,Paid Search,2024-05-02,16000,1250,134,1200.00,3500.00,USD,PAID,1.916666667,2.916666667,8.955223881,0.96,0.078125,0.1072
CMP202401,Brand Awareness,Organic Search,2024-05-03,9200,800,48,0.00,1200.00,USD,ORGANIC,,,,,0.086956522,0.06
CMP202410,Summer Savings,Affiliate,2024-05-05,12500,620,41,410.00,800.00,USD,PAID,0.951219512,1.951219512,10,0.661290323,0.0496,0.066129032
CMP202413,Flash Sale,Direct,2024-05-04,6900,410,23,0.00,600.00,USD,ORGANIC,,,,,0.05942029,0.056097561
CMP202414,VIP Launch,Email,2024-05-05,5400,330,64,170.00,950.00,USD,PAID,4.588235294,5.588235294,2.65625,0.515151515,0.061111111,0.193939394
CMP202406,Early Bird Discount,Other,2024-05-02,3000,145,7,55.00,120.00,USD,PAID,1.181818182,2.181818182,7.857142857,0.379310345,0.048333333,0.048275862
CMP202407,Local Community Drive,Social Media,2024-05-06,9800,480,50,330.00,850.00,USD,PAID,1.575757576,2.575757576,6.6,0.6875,0.048979592,0.104166667
CMP202408,Winter Clearance,Display Ads,2024-05-06,15200,760,70,710.00,1400.00,USD,PAID,0.971830986,1.971830986,10.14285714,0.934210526,0.05,0.092105263
CMP202409,Refer a Friend,Direct,2024-05-07,5900,295,16,0.00,300.00,USD,ORGANIC,,,,,0.05,0.054237288
CMP202412,Holiday Blast 2024,Paid Search,2024-05-08,15500,1100,129,980.00,2800.00,USD,PAID,1.857142857,2.857142857,7.596899225,0.890909091,0.070967742,0.117272727
CMP202404,Spring Surge 2024,Affiliate,2024-05-08,6200,290,19,200.00,410.00,USD,PAID,1.05,2.05,10.52631579,0.689655172,0.046774194,0.065517241
CMP202419,Back to School Promo,Social Media,2024-05-10,14400,920,102,720.00,1850.00,USD,PAID,1.569444444,2.569444444,7.058823529,0.782608696,0.063888889,0.110869565
CMP202401,Brand Awareness,Organic Search,2024-05-11,9900,850,54,0.00,1350.00,USD,ORGANIC,,,,,0.085858586,0.063529412
CMP202405,Q2 Product Launch,Display Ads,2024-05-12,13100,710,79,600.00,1450.00,USD,PAID,1.416666667,2.416666667,7.594936709,0.845070423,0.054198473,0.111267606
CMP202410,Summer Savings,Paid Search,2024-05-13,17500,1120,138,1150.00,3250.00,USD,PAID,1.826086957,2.826086957,8.333333333,1.026785714,0.064,0.123214286
CMP202413,Flash Sale,Other,2024-05-14,4200,210,14,48.00,90.00,USD,PAID,0.875,1.875,3.428571429,0.228571429,0.05,0.066666667
CMP202414,VIP Launch,Email,2024-05-15,6200,430,86,190.00,1120.00,USD,PAID,4.894736842,5.894736842,2.209302326,0.441860465,0.069354839,0.2
CMP202406,Early Bird Discount,Direct,2024-05-16,3100,158,8,0.00,130.00,USD,ORGANIC,,,,,0.050967742,0.050632911
CMP202407,Local Community Drive,Affiliate,2024-05-18,7900,410,34,250.00,480.00,USD,PAID,0.92,1.92,7.352941176,0.609756098,0.051898734,0.082926829
CMP202408,Winter Clearance,Paid Search,2024-05-19,15800,980,109,920.00,2550.00,USD,PAID,1.77173913,2.77173913,8.440366972,0.93877551,0.062025316,0.11122449
CMP202409,Refer a Friend,Display Ads,2024-05-19,11700,590,56,400.00,950.00,USD,PAID,1.375,2.375,7.142857143,0.677966102,0.05042735,0.094915254
CMP202412,Holiday Blast 2024,Organic Search,2024-05-20,11200,860,58,0.00,1400.00,USD,ORGANIC,,,,,0.076785714,0.06744186
CMP202404,Spring Surge 2024,Social Media,2024-05-21,16060,900,90,520.00,1400.00,USD,PAID,1.692307692,2.692307692,5.777777778,0.577777778,0.056039851,0.1
CMP202419,Back to School Promo,Other,2024-05-21,4600,198,10,34.00,73.00,USD,PAID,1.147058824,2.147058824,3.4,0.171717172,0.043043478,0.050505051
CMP202405,Q2 Product Launch,Email,2024-05-22,8600,495,77,215.00,960.00,USD,PAID,3.465116279,4.465116279,2.792207792,0.434343434,0.05755814,0.155555556
CMP202410,Summer Savings,Direct,2024-05-22,4800,220,13,0.00,280.00,USD,ORGANIC,,,,,0.045833333,0.059090909
CMP202413,Flash Sale,Paid Search,2024-05-23,13900,780,85,800.00,1750.00,USD,PAID,1.1875,2.1875,9.411764706,1.025641026,0.056115108,0.108974359
CMP202414,VIP Launch,Social Media,2024-05-23,11300,580,68,360.00,1050.00,USD,PAID,1.916666667,2.916666667,5.294117647,0.620689655,0.051327434,0.117241379
CMP202406,Early Bird Discount,Affiliate,2024-05-24,4200,185,12,94.00,160.00,USD,PAID,0.70212766,1.70212766,7.833333333,0.508108108,0.044047619,0.064864865
CMP202407,Local Community Drive,Display Ads,2024-05-25,9600,430,38,270.00,530.00,USD,PAID,0.962962963,1.962962963,7.105263158,0.627906977,0.044791667,0.088372093
CMP202408,Winter Clearance,Other,2024-05-25,3200,120,8,30.00,63.00,USD,PAID,1.1,2.1,3.75,0.25,0.0375,0.066666667
CMP202409,Refer a Friend,Email,2024-05-26,5700,310,31,92.00,310.00,USD,PAID,2.369565217,3.369565217,2.967741935,0.296774194,0.054385965,0.1
CMP202412,Holiday Blast 2024,Direct,2024-05-26,5900,260,14,0.00,210.00,USD,ORGANIC,,,,,0.044067797,0.053846154
CMP202404,Spring Surge 2024,Paid Search,2024-05-27,12000,970,120,895.00,2400.00,USD,PAID,1.681564246,2.681564246,7.458333333,0.922680412,0.080833333,0.12371134
CMP202419,Back to School Promo,Organic Search,2024-05-27,10500,770,53,0.00,1150.00,USD,ORGANIC,,,,,0.073333333,0.068831169
CMP202405,Q2 Product Launch,Social Media,2024-05-28,15700,1080,112,670.00,1750.00,USD,PAID,1.611940299,2.611940299,5.982142857,0.62037037,0.068789809,0.103703704
CMP202410,Summer Savings,Display Ads,2024-05-28,12600,610,52,470.00,900.00,USD,PAID,0.914893617,1.914893617,9.038461538,0.770491803,0.048412698,0.085245902
CMP202413,Flash Sale,Affiliate,2024-05-29,5100,312,23,121.00,190.00,USD,PAID,0.570247934,1.570247934,5.260869565,0.387820513,0.061176471,0.073717949
CMP202414,VIP Launch,Paid Search,2024-05-29,8900,620,69,540.00,1360.00,USD,PAID,1.518518519,2.518518519,7.826086957,0.870967742,0.069662921,0.111290323
CMP202406,Early Bird Discount,Social Media,2024-05-30,6200,350,38,210.00,440.00,USD,PAID,1.095238095,2.095238095,5.526315789,0.6,0.056451613,0.108571429
CMP202407,Local Community Drive,Email,2024-05-30,5400,320,52,128.00,430.00,USD,PAID,2.359375,3.359375,2.461538462,0.4,0.059259259,0.1625
CMP202408,Winter Clearance,Direct,2024-05-31,3400,150,9,0.00,65.00,USD,ORGANIC,,,,,0.044117647,0.06
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
