"campaign_id","campaign_name","channel","date","impressions","clicks","conversions","conversion_rate","cost","revenue","roi","currency"
"CMP-1001","Spring Sale 2024","Email","2024-03-01","5500","480","60","0.125","120","900","6.5","USD"
"CMP-1002","Social Buzz Launch","Social Media","2024-03-01","8000","720","90","0.125","310","1500","3.84","USD"
"CMP-1003","Brand Awareness Q1","Display Ads","2024-03-01","13000","420","18","0.04285714285714286","170","400","1.35","USD"
"CMP-1004","Affiliate Growth 2024","Affiliate","2024-03-01","4300","210","26","0.12380952380952381","85","350","3.12","USD"
"CMP-1005","Direct Entry Promo","Direct","2024-03-01","1700","60","9","0.15","0","90","","USD"
"CMP-1001","Spring Sale 2024","Paid Search","2024-03-01","6000","490","44","0.08979591836734695","210","1100","4.24","USD"
"CMP-1002","Social Buzz Launch","Organic Search","2024-03-01","3000","160","24","0.15","0","320","","USD"
"CMP-1003","Brand Awareness Q1","Other","2024-03-01","2500","60","7","0.11666666666666667","65","100","0.54","USD"
"CMP-1004","Affiliate Growth 2024","Email","2024-03-02","2600","210","19","0.09047619047619047","55","180","2.27","USD"
"CMP-1005","Direct Entry Promo","Social Media","2024-03-02","3100","250","22","0.088","95","210","1.21","USD"
"CMP-1006","Flash Deals March","Paid Search","2024-03-02","6200","530","53","0.1","220","980","3.45","USD"
"CMP-1007","Loyalty Booster","Organic Search","2024-03-02","3400","180","34","0.18888888888888888","0","370","","USD"
"CMP-1008","Display Domination","Display Ads","2024-03-02","12400","400","20","0.05","156","360","1.31","USD"
"CMP-1009","Affiliate Spring Push","Affiliate","2024-03-02","3500","140","15","0.10714285714285714","49","160","2.27","USD"
"CMP-1010","Direct Shop Special","Direct","2024-03-02","2100","95","11","0.11578947368421053","0","110","","USD"
"CMP-1006","Flash Deals March","Email","2024-03-03","3700","370","42","0.11351351351351352","77","330","3.29","USD"
"CMP-1007","Loyalty Booster","Social Media","2024-03-03","6600","350","29","0.08285714285714285","130","260","1","USD"
"CMP-1008","Display Domination","Paid Search","2024-03-03","8900","580","46","0.07931034482758621","215","570","1.65","USD"
"CMP-1009","Affiliate Spring Push","Organic Search","2024-03-03","3600","160","20","0.125","0","290","","USD"
"CMP-1010","Direct Shop Special","Display Ads","2024-03-03","11500","390","23","0.05897435897435897","143","320","1.24","USD"
"CMP-1011","Affiliate Max 2024","Affiliate","2024-03-03","4100","170","17","0.1","53","135","1.55","USD"
"CMP-1012","Direct Entry Rewards","Direct","2024-03-03","1950","80","12","0.15","0","125","","USD"
"CMP-1007","Loyalty Booster","Email","2024-03-04","3000","260","34","0.13076923076923078","65","220","2.38","USD"
"CMP-1008","Display Domination","Social Media","2024-03-04","5100","280","23","0.08214285714285714","92","187","1.03","USD"
"CMP-1009","Affiliate Spring Push","Paid Search","2024-03-04","7100","500","45","0.09","190","470","1.47","USD"
"CMP-1010","Direct Shop Special","Organic Search","2024-03-04","2600","120","15","0.125","0","200","","USD"
"CMP-1011","Affiliate Max 2024","Display Ads","2024-03-04","12200","460","28","0.06086956521739131","138","340","1.46","USD"
"CMP-1012","Direct Entry Rewards","Affiliate","2024-03-04","3800","140","14","0.1","44","120","1.73","USD"
"CMP-1013","Email Surge April","Email","2024-04-01","4500","400","40","0.1","85","340","3","USD"
"CMP-1014","Spring Social Blast","Social Media","2024-04-01","7500","690","55","0.07971014492753623","250","800","2.2","USD"
"CMP-1015","Search Lift Q2","Paid Search","2024-04-01","8200","610","47","0.07704918032786885","225","630","1.8","USD"
"CMP-1016","Organic Outreach","Organic Search","2024-04-01","4100","200","30","0.15","0","290","","USD"
"CMP-1017","Display Impact","Display Ads","2024-04-01","14000","480","25","0.052083333333333336","180","410","1.28","USD"
"CMP-1018","Affiliate Leads Q2","Affiliate","2024-04-01","3900","150","18","0.12","60","170","1.83","USD"
"CMP-1019","Direct Bonus April","Direct","2024-04-01","1800","85","10","0.11764705882352941","0","90","","USD"
"CMP-1013","Email Surge April","Other","2024-04-01","2000","50","6","0.12","31","48","0.55","USD"
"CMP-1014","Spring Social Blast","Email","2024-04-02","5200","410","49","0.11951219512195121","88","360","3.09","USD"
"CMP-1015","Search Lift Q2","Social Media","2024-04-02","9000","700","60","0.08571428571428572","260","920","2.54","USD"
"CMP-1016","Organic Outreach","Paid Search","2024-04-02","6500","490","47","0.09591836734693877","190","510","1.68","USD"
"CMP-1017","Display Impact","Organic Search","2024-04-02","3300","135","22","0.16296296296296298","0","230","","USD"
"CMP-1018","Affiliate Leads Q2","Display Ads","2024-04-02","11000","350","20","0.05714285714285714","127","210","0.65","USD"
"CMP-1019","Direct Bonus April","Affiliate","2024-04-02","4200","160","16","0.1","48","130","1.71","USD"
"CMP-1020","Direct Route Q2","Direct","2024-04-02","1600","68","8","0.11764705882352941","0","80","","USD"
"CMP-1014","Spring Social Blast","Paid Search","2024-04-03","7100","520","48","0.09230769230769231","210","540","1.57","USD"
